time_instant,frame_number,object_number,x,y,z,doppler
2022-02-18 16:42:17.506513,58,4,-0.7999354600906372,0.5071825981140137,0.2686634063720703,0.0
2022-02-18 16:42:17.506513,58,5,-0.7911449074745178,1.3471540212631226,0.6386336088180542,0.0
2022-02-18 16:42:17.506513,58,6,1.1207886934280396,1.5418155193328857,0.9041881561279297,0.0
2022-02-18 16:42:17.506513,58,7,-0.5977539420127869,4.227523326873779,2.153733015060425,0.0
2022-02-18 16:42:17.506513,58,8,-0.4812798500061035,4.58829927444458,2.2517237663269043,0.0
2022-02-18 16:42:17.506513,58,9,-0.6658803224563599,6.448936462402344,2.9011213779449463,0.0
2022-02-18 16:42:17.506513,58,10,-0.7416983842849731,7.001265048980713,3.6087677478790283,0.0
2022-02-18 16:42:17.506513,58,11,0.6768684387207031,9.199423789978027,5.6744232177734375,0.0
2022-02-18 16:42:17.506513,58,12,0.2681102454662323,3.7445027828216553,2.07578706741333,-1.098413109779358
2022-02-18 16:42:17.506513,58,13,-1.9998385906219482,2.794147491455078,-3.0146265029907227,-0.7322754263877869
2022-02-18 16:42:17.506513,58,14,0.8570736646652222,3.6290881633758545,-2.6438097953796387,-0.7322754263877869
2022-02-18 16:42:17.608025,59,1,-0.09889311343431473,0.03137373924255371,0.019056081771850586,0.0
2022-02-18 16:42:17.608025,59,2,0.07911449670791626,0.044512633234262466,-0.0537290945649147,0.0
2022-02-18 16:42:17.608025,59,3,-0.8307021856307983,0.43573230504989624,0.29896867275238037,0.0
2022-02-18 16:42:17.608025,59,4,-0.8438879251480103,1.3109626770019531,0.6463878154754639,0.0
2022-02-18 16:42:17.608025,59,5,1.1207886934280396,1.5462987422943115,0.896499514579773,0.0
2022-02-18 16:42:17.608025,59,6,-0.5977539420127869,4.230579853057861,2.1477227210998535,0.0
2022-02-18 16:42:17.608025,59,7,-0.4812798500061035,4.604467391967773,2.2184746265411377,0.0
2022-02-18 16:42:17.608025,59,8,-0.7416983842849731,6.960166931152344,3.6874101161956787,0.0
2022-02-18 16:42:17.608025,59,9,0.33843421936035156,9.388703346252441,5.387423992156982,0.0
2022-02-18 16:42:17.608025,59,10,0.26151737570762634,3.6672120094299316,1.997835397720337,-1.098413109779358
2022-02-18 16:42:17.608025,59,11,0.2681102454662323,3.9439077377319336,1.6660685539245605,-1.098413109779358
2022-02-18 16:42:17.724555,60,1,-0.09889311343431473,0.031382475048303604,0.019041696563363075,0.0
2022-02-18 16:42:17.724555,60,2,0.07911449670791626,0.04456103965640068,-0.053688954561948776,0.0
2022-02-18 16:42:17.724555,60,3,-0.764773428440094,0.2711695432662964,0.23180921375751495,0.0
2022-02-18 16:42:17.724555,60,4,-0.8285045623779297,0.47131672501564026,0.36224937438964844,0.0
2022-02-18 16:42:17.724555,60,5,-0.8438879251480103,1.309116244316101,0.6501192450523376,0.0
2022-02-18 16:42:17.724555,60,6,1.1207886934280396,1.5458922386169434,0.8972004055976868,0.0
2022-02-18 16:42:17.724555,60,7,-0.5977539420127869,4.2252655029296875,2.158159017562866,0.0
2022-02-18 16:42:17.724555,60,8,-0.4812798500061035,4.557575225830078,2.3132781982421875,0.0
2022-02-18 16:42:17.724555,60,9,-0.7416983842849731,7.00456428527832,3.6023595333099365,0.0
2022-02-18 16:42:17.724555,60,10,0.6746708154678345,9.096087455749512,5.773410320281982,0.0
2022-02-18 16:42:17.724555,60,11,0.263714998960495,3.9880568981170654,1.352601408958435,-1.098413109779358
2022-02-18 16:42:17.818607,61,1,-0.09889311343431473,0.031364623457193375,0.019071083515882492,0.0
2022-02-18 16:42:17.818607,61,2,0.07911449670791626,0.04447253420948982,-0.0537622906267643,0.0
2022-02-18 16:42:17.818607,61,3,-0.8307021856307983,0.4034189283847809,0.34131813049316406,0.0
2022-02-18 16:42:17.818607,61,4,-0.7911449074745178,1.3375189304351807,0.6585744023323059,0.0
2022-02-18 16:42:17.818607,61,5,1.1207886934280396,1.5335416793823242,0.9181509017944336,0.0
2022-02-18 16:42:17.818607,61,6,-0.5977539420127869,4.234428405761719,2.140124797821045,0.0
2022-02-18 16:42:17.818607,61,7,-0.4812798500061035,4.546989917755127,2.3340165615081787,0.0
2022-02-18 16:42:17.818607,61,8,-0.49446558952331543,7.011667728424072,3.630847454071045,0.0
2022-02-18 16:42:17.818607,61,9,0.6746708154678345,9.021098136901855,5.889895915985107,0.0
2022-02-18 16:42:17.818607,61,10,3.461259365081787,9.683592796325684,4.114140033721924,0.0
2022-02-18 16:42:17.818607,61,11,0.38568314909935,3.969735622406006,1.0084946155548096,-0.7322754263877869
2022-02-18 16:42:17.919790,62,1,-0.09889311343431473,0.031346045434474945,0.01910160295665264,0.0
2022-02-18 16:42:17.919790,62,2,0.07911449670791626,0.04441540315747261,-0.05380949750542641,0.0
2022-02-18 16:42:17.919790,62,3,-0.7384019494056702,0.2710639536380768,0.30566930770874023,0.0
2022-02-18 16:42:17.919790,62,4,-0.8285045623779297,0.4544075131416321,0.3832464814186096,0.0
2022-02-18 16:42:17.919790,62,5,-0.7911449074745178,1.347504734992981,0.6378933787345886,0.0
2022-02-18 16:42:17.919790,62,6,1.1207886934280396,1.538271188735962,0.9102048277854919,0.0
2022-02-18 16:42:17.919790,62,7,-0.5977539420127869,4.24384069442749,2.121398448944092,0.0
2022-02-18 16:42:17.919790,62,8,-0.4812798500061035,4.645894527435303,2.130354881286621,0.0
2022-02-18 16:42:17.919790,62,9,-0.4845762848854065,4.708242893218994,2.0770816802978516,0.0
2022-02-18 16:42:17.919790,62,10,-0.7416983842849731,6.91746711730957,3.76690411567688,0.0
2022-02-18 16:42:17.919790,62,11,0.6746708154678345,9.119211196899414,5.736816883087158,0.0
2022-02-18 16:42:17.919790,62,12,3.461259365081787,9.68628978729248,4.107787132263184,0.0
2022-02-18 16:42:17.919790,62,13,-1.4614205360412598,4.268144130706787,1.2317779064178467,-1.4645508527755737
2022-02-18 16:42:17.919790,62,14,1.4614205360412598,3.1875431537628174,-3.0941715240478516,-1.4645508527755737
2022-02-18 16:42:17.919790,62,15,0.37249740958213806,3.7499074935913086,1.2596020698547363,-0.7322754263877869
2022-02-18 16:42:18.026794,63,1,-0.09889311343431473,0.03134511783719063,0.019103124737739563,0.0
2022-02-18 16:42:18.026794,63,2,0.07911449670791626,0.0444282628595829,-0.05379888415336609,0.0
2022-02-18 16:42:18.026794,63,3,-0.7966390252113342,0.12631596624851227,0.3494844138622284,0.0
2022-02-18 16:42:18.026794,63,4,-0.8285045623779297,0.44179657101631165,0.39771828055381775,0.0
2022-02-18 16:42:18.026794,63,5,-0.7911449074745178,1.3446260690689087,0.643939197063446,0.0
2022-02-18 16:42:18.026794,63,6,1.1207886934280396,1.5546057224273682,0.8820159435272217,0.0
2022-02-18 16:42:18.026794,63,7,-0.5977539420127869,4.2472333908081055,2.114598512649536,0.0
