time_instant,frame_number,object_number,x,y,z
2022-02-04 09:28:15.429927,1,1,-0.09889311343431473,0.031816333532333374,0.018307559192180634
2022-02-04 09:28:15.429927,1,2,0.07911449670791626,0.044638317078351974,-0.053624723106622696
2022-02-04 09:28:15.429927,1,3,0.3362365961074829,0.9416904449462891,0.6552886366844177
2022-02-04 09:28:15.429927,1,4,-0.12526461482048035,1.2934072017669678,0.31099700927734375
2022-02-04 09:28:15.429927,1,5,0.584568202495575,1.0446178913116455,0.5936042070388794
2022-02-04 09:28:15.514309,2,1,-0.09889311343431473,0.03180871158838272,0.018320800736546516
2022-02-04 09:28:15.514309,2,2,0.07911449670791626,0.04469962418079376,-0.05357363075017929
2022-02-04 09:28:15.514309,2,3,0.3988689184188843,0.906402051448822,0.6047656536102295
2022-02-04 09:28:15.514309,2,4,4.834774971008301,7.171509742736816,4.32372522354126
2022-02-04 09:28:15.613808,3,1,-0.09889311343431473,0.03179273009300232,0.018348516896367073
2022-02-04 09:28:15.613808,3,2,0.07911449670791626,0.04472101479768753,-0.05355577543377876
2022-02-04 09:28:15.613808,3,3,-5.814915180206299,2.3748035430908203,2.1705527305603027
2022-02-04 09:28:15.613808,3,4,-6.118187427520752,1.322858214378357,2.5288784503936768
2022-02-04 09:28:15.613808,3,5,0.52742999792099,0.8085415363311768,0.5780286192893982
2022-02-04 09:28:15.613808,3,6,0.5933587551116943,0.8773009777069092,0.693252444267273
2022-02-04 09:28:15.613808,3,7,-0.9065202474594116,1.4250950813293457,0.9419832825660706
2022-02-04 09:28:15.715798,4,1,-0.09889311343431473,0.03179198503494263,0.01834981143474579
2022-02-04 09:28:15.715798,4,2,0.07911449670791626,0.04472718760371208,-0.05355061963200569
2022-02-04 09:28:15.715798,4,3,0.6329159736633301,0.7018317580223083,0.6106458902359009
2022-02-04 09:28:15.715798,4,4,0.7307102680206299,0.6773508787155151,0.7223619818687439
2022-02-04 09:28:15.715798,4,5,-0.7713663578033447,1.5046228170394897,0.8639143109321594
2022-02-04 09:28:15.822466,5,1,-0.09889311343431473,0.031794168055057526,0.01834602653980255
2022-02-04 09:28:15.822466,5,2,0.07911449670791626,0.044721875339746475,-0.05355505645275116
2022-02-04 09:28:15.822466,5,3,-5.370995044708252,2.659501075744629,2.7888331413269043
2022-02-04 09:28:15.822466,5,4,-5.329240322113037,2.5252373218536377,3.428447723388672
2022-02-04 09:28:15.822466,5,5,0.6472005248069763,0.7082266211509705,0.5173919200897217
2022-02-04 09:28:15.822466,5,6,0.3735962212085724,1.1126224994659424,0.22745591402053833
2022-02-04 09:28:15.822466,5,7,0.7845520377159119,0.4442845582962036,0.7850658893585205
2022-02-04 09:28:15.918638,6,1,-0.09559667855501175,0.03883486986160278,0.021918533369898796
2022-02-04 09:28:15.918638,6,2,0.07911449670791626,0.04464591667056084,-0.05361839756369591
2022-02-04 09:28:15.918638,6,3,0.725216269493103,0.447787344455719,0.6215122938156128
2022-02-04 09:28:15.918638,6,4,0.29887697100639343,0.8784722685813904,0.7537891864776611
2022-02-04 09:28:15.918638,6,5,-4.593035697937012,4.3111701011657715,2.2250049114227295
2022-02-04 09:28:16.021663,7,1,-0.09559667855501175,0.03884880617260933,0.021893823519349098
2022-02-04 09:28:16.021663,7,2,0.07911449670791626,0.04467477276921272,-0.053594354540109634
2022-02-04 09:28:16.021663,7,3,0.5230346918106079,0.9382184147834778,0.5248047709465027
